Substance 	          A 	    B 	        C 	       Tmin 	   Tmax        T
carbon-dioxide      9.8106    1347.79     273.00       -119        -69       -100 
carbon-dioxide      9.8106    1347.79     273.00       -119        -69        -50 
chloroform          6.9371    1171.20     227.00        -13         97        -25 
chloroform          6.9371    1171.20     227.00        -13         97         45 
formaldehyde        7.1561     957.24     243.01        -88         -2         10 
formaldehyde        7.1561     957.24     243.01        -88         -2        -20 
methanol            8.0724    1574.99     238.87        -16         91        125 
methanol            8.0724    1574.99     238.87        -16         91        -30 
acetic-acid         7.2996    1479.02     216.82         17        157        100 
ethyl-alcohol       8.2133    1652.05     231.48         -3         96         70 
acetone             7.2316    1277.03     237.23        -32         77         50 
carbon-dioxide      9.8106    1347.79     273.00       -119        -69         25 
chloroform          6.9371    1171.20     227.00        -13         97        120 
chloroform          6.9371    1171.20     227.00        -13         97          0 
formaldehyde        7.1561     957.24     243.01        -88         -2       -120 
methanol            8.0724    1574.99     238.87        -16         91         50 
methanol            8.0724    1574.99     238.87        -16         91         75 
acetic-acid         7.2996    1479.02     216.82         17        157         10 
acetic-acid         7.2996    1479.02     216.82         17        157         90 
acetic-acid         7.2996    1479.02     216.82         17        157        160 
ethyl-alcohol       8.2133    1652.05     231.48         -3         96         50 
ethyl-alcohol       8.2133    1652.05     231.48         -3         96          0 
ethyl-alcohol       8.2133    1652.05     231.48         -3         96        160 
acetone             7.2316    1277.03     237.23        -32         77         77 
acetone             7.2316    1277.03     237.23        -32         77        -32 
