Year	JanAvg  	JulyAvg     
1950	  41.3	      72.2
1951	  32.6	      76.0
1952	  36.6	      78.2
1953	  36.4	      76.0
1954	  34.2	      77.5
1955	  30.3	      79.2
1956	  29.2	      74.3
1957	  27.8	      76.2
1958	  29.3	      74.2
1959	  29.3	      76.6
1960	  34.5	      74.3
1961	  27.8	      75.4
1962	  28.2	      74.2
1963	  22.2	      72.2
1964	  32.0	      74.2
1965	  30.6	      73.1
1966	  23.8	      78.8
1967	  35.4	      72.9
1968	  26.7	      75.7
1969	  30.2	      77.2
1970	  24.0	      75.4
1971	  28.3	      74.7
1972	  30.2	      75.4
1973	  31.7	      74.8
1974	  35.6	      75.2
1975	  34.0	      74.5
1976	  27.1	      73.6
1977	  12.0	      77.9
1978	  18.3	      74.9
1979	  21.3	      73.4
1980	  29.8	      76.6
1981	  24.1	      75.8
1982	  23.9	      77.0
1983	  31.6	      79.2
1984	  23.7	      72.2
1985	  22.7	      75.1
1986	  30.8	      77.5
1987	  30.6	      76.1
1988	  27.5	      78.5
1989	  38.6	      76.7
1990	  39.9	      74.7
1991	  31.0	      77.9
1992	  32.9	      73.5
1993	  39.5	      79.0
1994	  23.2	      75.2
1995	  31.3	      76.6
1996	  27.9	      72.1
1997	  28.1	      75.1
1998	  38.6	      74.3
1999	  32.3	      78.9
2000	  28.6	      72.6
2001	  29.7	      74.2
2002	  36.8	      78.1
2003	  24.0	      73.9
2004	  27.7	      73.2
2005	  33.4	      77.5
2006	  41.6	      76.9
2007	  35.0	      74.6
2008	  29.9	      74.3
2009	  26.0	      70.1
2010	  26.8	      77.9
2011	  26.1	      80.9
2012	  35.3	      81.2
2013	  33.7	      74.5
2014	  23.7	      71.6
2015	  30.2	      75.0
2016	  30.5	      77.0
2017	  37.5	      75.8
2018	  28.8	      77.0
2019	  30.4	      78.3
2020	  38.0	      78.6
2021	  33.3	      75.7
2022	  28.2	      78.2
